
> rearvy2.0@0.1.2 dev:web
> cd website && npm run dev


> rearvy-website@0.1.2 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.20.10.2:3000
- Environments: .env.local
✓ Ready in 1112ms
Creating turbopack project { dir: 'C:\\Users\\sinaa\\rearvy2.0\\website', testMode: true }
 POST /api/internal/automaton 200 in 331ms (next.js: 70ms, application-code: 261ms)
 POST /api/internal/automaton 200 in 337ms (next.js: 20ms, application-code: 317ms)
 POST /api/internal/automaton 200 in 337ms (next.js: 41ms, application-code: 296ms)
 POST /api/internal/automaton 200 in 340ms (next.js: 27ms, application-code: 313ms)
 POST /api/internal/automaton 200 in 337ms (next.js: 97ms, application-code: 241ms)
 POST /api/internal/automaton 200 in 220ms (next.js: 4ms, application-code: 217ms)
 POST /api/internal/automaton 200 in 357ms (next.js: 106ms, application-code: 251ms)
 POST /api/internal/automaton 200 in 155ms (next.js: 6ms, application-code: 149ms)
 POST /api/internal/automaton 200 in 225ms (next.js: 12ms, application-code: 213ms)
 POST /api/internal/automaton 200 in 168ms (next.js: 18ms, application-code: 150ms)
 POST /api/internal/automaton 200 in 175ms (next.js: 9ms, application-code: 166ms)
 POST /api/internal/automaton 200 in 219ms (next.js: 25ms, application-code: 194ms)
 POST /api/internal/automaton 200 in 223ms (next.js: 34ms, application-code: 189ms)
 POST /api/internal/automaton 200 in 203ms (next.js: 52ms, application-code: 151ms)
 POST /api/internal/automaton 200 in 182ms (next.js: 15ms, application-code: 167ms)
 POST /api/internal/automaton 200 in 186ms (next.js: 5ms, application-code: 181ms)
 POST /api/internal/automaton 200 in 186ms (next.js: 34ms, application-code: 152ms)
 POST /api/internal/automaton 200 in 189ms (next.js: 24ms, application-code: 165ms)
 POST /api/internal/automaton 200 in 218ms (next.js: 49ms, application-code: 169ms)
 POST /api/internal/automaton 200 in 138ms (next.js: 2ms, application-code: 136ms)
 POST /api/internal/automaton 200 in 165ms (next.js: 13ms, application-code: 152ms)
 POST /api/internal/automaton 200 in 158ms (next.js: 3ms, application-code: 155ms)
 POST /api/internal/automaton 200 in 125ms (next.js: 3ms, application-code: 123ms)
 POST /api/internal/automaton 200 in 107ms (next.js: 3ms, application-code: 104ms)
 POST /api/internal/automaton 200 in 142ms (next.js: 3ms, application-code: 139ms)
 POST /api/internal/automaton 200 in 447ms (next.js: 16ms, application-code: 431ms)
 POST /api/internal/automaton 200 in 453ms (next.js: 5ms, application-code: 448ms)
 POST /api/internal/automaton 200 in 454ms (next.js: 28ms, application-code: 425ms)
 POST /api/internal/automaton 200 in 400ms (next.js: 24ms, application-code: 376ms)
 POST /api/internal/automaton 200 in 408ms (next.js: 66ms, application-code: 342ms)
 POST /api/internal/automaton 200 in 428ms (next.js: 115ms, application-code: 313ms)
 POST /api/internal/automaton 200 in 434ms (next.js: 35ms, application-code: 399ms)
 POST /api/internal/automaton 200 in 433ms (next.js: 78ms, application-code: 355ms)
 POST /api/internal/automaton 200 in 437ms (next.js: 54ms, application-code: 382ms)
 POST /api/internal/automaton 200 in 440ms (next.js: 43ms, application-code: 396ms)
 POST /api/internal/automaton 200 in 437ms (next.js: 127ms, application-code: 311ms)
 POST /api/internal/automaton 200 in 446ms (next.js: 25ms, application-code: 421ms)
 POST /api/internal/automaton 200 in 441ms (next.js: 137ms, application-code: 304ms)
 POST /api/internal/automaton 200 in 442ms (next.js: 146ms, application-code: 297ms)
 POST /api/internal/automaton 200 in 449ms (next.js: 178ms, application-code: 271ms)
 POST /api/internal/automaton 200 in 452ms (next.js: 167ms, application-code: 285ms)
 POST /api/internal/automaton 200 in 455ms (next.js: 157ms, application-code: 299ms)
 POST /api/internal/automaton 200 in 365ms (next.js: 32ms, application-code: 334ms)
 POST /api/internal/automaton 200 in 366ms (next.js: 72ms, application-code: 295ms)
 POST /api/internal/automaton 200 in 371ms (next.js: 40ms, application-code: 331ms)
 POST /api/internal/automaton 200 in 376ms (next.js: 23ms, application-code: 353ms)
